Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAF5g5F2AKzBAFUb/Me8kmuSwVimEoWSsb2eXaRNdaI9lJV1ntvFWNK0T6IXuRiZqw==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAF5g5F2AKzBAFUb/Me8kmuSwVimEoWSsb2eXaRNdaI9lJV1ntvFWNK0T6IXuRiZqw==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAF5g5F2AKzBAFUb/Me8kmuSwVimEoWSsb2eXaRNdaI9lJV1ntvFWNK0T6IXuRiZqw==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAF5g5F2AKzBAFUb/Me8kmuSwVimEoWSsb2eXaRNdaI9lJV1ntvFWNK0T6IXuRiZqw==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAF5g5F2AKzBAFUb/Me8kmuSwVimEoWSsb2eXaRNdaI9lJV1ntvFWNK0T6IXuRiZqw==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAF5g5F2AKzBAFUb/Me8kmuSwVimEoWSsb2eXaRNdaI9lJV1ntvFWNK0T6IXuRiZqw==
Dinlenenler : rssis:-109.00, snr:-16.20, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFMlTXOAIRlAGMKIkyAsUhjbZXKbOcbYN6+xVyRiXatPLt8afMub+Izf0ww6X8E8Q==
Dinlenenler : rssis:-109.00, snr:-16.20, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFMlTXOAIRlAGMKIkyAsUhjbZXKbOcbYN6+xVyRiXatPLt8afMub+Izf0ww6X8E8Q==
Dinlenenler : rssis:-109.00, snr:-16.20, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFMlTXOAIRlAGMKIkyAsUhjbZXKbOcbYN6+xVyRiXatPLt8afMub+Izf0ww6X8E8Q==
Dinlenenler : rssis:-109.00, snr:-16.20, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFMlTXOAIRlAGMKIkyAsUhjbZXKbOcbYN6+xVyRiXatPLt8afMub+Izf0ww6X8E8Q==
